=== Object Detection Log ===
[2025-12-08 18:03:10] Frame 00110 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.1ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00111 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: 1.4311699867248535 | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: 81.99999 | Turn: Left
[2025-12-08 18:03:10] Frame 00112 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=3.9ms | angle: 1.4311699867248535 | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: 81.99999 | Turn: Left
[2025-12-08 18:03:10] Frame 00113 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=2.9ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00114 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=6.1ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00115 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.2ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00116 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.3ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00117 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.6ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00118 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=8.1ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00119 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=4.7ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.75 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00120 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=7.4ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00121 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=5.6ms | angle: None | Angle_log: <LOG> max_angle: 178.99998474121094 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00122 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
[2025-12-08 18:03:10] Frame 00123 | DETECT=False | HOLD=False(0) | None | area%=0.00 | elong=0.00 | fill=0.00 | elapsed=0.0ms | angle: None | Angle_log: <LOG> max_angle: 178.99996948242188 min_angle: 0.6666666269302368 taken_angle: None | Turn: 
